	fluxes	reduced_costs
TZ3100045_PLAS__ermem	0.0	-2.0
R02408__mito	0.0	-2.0
R08632__cytop	0.0	-2.0
R01470__extr	0.0	2.0
R07085__chlo	0.0	-2.0
R07093__e_r_	0.0	-2.0
R07000__e_r_	0.0	-2.0
R00659__chlo	0.0	4374.527041807763
TZ3100041_E_R___ermem	0.0	0.0
R08310__cytop	0.0	-2.0
ATPase__chlo	2.5523643001024676	-2.0000000000005684
R01030__extr	0.0	2.0
R02199__cytop	0.0	-2.0
R05633__chlo	0.0056105280740470775	-2.0
R00900__chlo	0.0	2.0
R04204__mito	0.0	-2.0
EX_C00870__dra	-0.0	-2.0
EX_C00038__dra	0.0	-2.0
R03416__extr	0.0	2.0
R01700__mito	0.006679220067664346	-2.0
R00127__cytop	-0.17087243478829098	59.0
EX_C00385__dra	0.0	22962.585662773872
R06722__golg	0.0	-2.0
R08287__chlo	0.0	-2.0
R01857__mito	0.0	-3.637978807091713e-12
R02570__mito	0.006679220067664346	-2.0
EX_C04438__dra	-0.0	-2.0
R00833__mito	0.0010016469125298621	-2.0
R03652__cytop	0.0008269886135491032	-2.0
R08345__chlo	0.0	-2.0
TO3000350_PLAS__plas	0.0	2303.7635209038826
R08175__cytop	0.0	-2.0
R12459__cytop	0.0	-1.3333333333357587
TO3000759_PLAS__plas	0.0	2158.7635209038817
R07891__pero	0.0	2.0
R00935__mito	0.0	2.0
R09658__chlo	0.00020658302790066736	-2.0
R07108__cytop	0.0	-2.0
TO1000258_PLAS__plas	0.0	-2.0
R05069__chlo	0.0007824402671852113	-2.0
R00105__cytop	0.0	-40.0
R01395__cytop	0.0021974129024571816	-2229.7635209038817
EX_C07073__dra	-0.0	-2.0
R00275__mito	0.26705187971340505	-4.0
R03991__mito	0.0	2.0
EX_C00116__dra	0.0	27.0
R09442__cytop	0.0	-2.0
R01351__cytop	0.0	-2.0
R03330__cytop	0.0	-2.0
RXN_21831__e_r_	0.0	-2.0
R09420__cytop	0.0	-2.0
R07890__pero	0.0	2.0
R05441__cytop	0.0	-2.0
R02832__cytop	0.0	-2.0
R01185__golg	0.0	-2.0
R04638__cytop	1.926712716806764e-06	-2.0
TO3000351_CHLO__chlomem	0.0	-2.0
R09365__cytop	0.0	2.0
R08249__extr	0.0	2.0
R02199__mito	0.0	2.0
R01018__cytop	0.0	-2.0
R04035__cytop	0.0005582651359645465	-2.0
T_L_Leucine__chlomem	0.0	-2.0
